Accession 	 ORF 	 start 	 end 	 strand
NZ_CP017479.1	NZ_CP017479.1_2600	3161558	3163312	1
NZ_CP012872.1	NZ_CP012872.1_3426	3848341	3850077	-1
NZ_CP124855.1	NZ_CP124855.1_768	846018	847772	1
NZ_CP080598.1	NZ_CP080598.1_3281	3555987	3556898	-1
NZ_CP026029.1	NZ_CP026029.1_4175	4881747	4882679	-1
NZ_CP073250.1	NZ_CP073250.1_440	501713	502618	-1
NZ_LS483364.1	NZ_LS483364.1_33	43101	44081	1
NZ_CP068171.1	NZ_CP068171.1_1879	2038498	2039454	1
NZ_CP013317.1	NZ_CP013317.1_1317	1554217	1555158	1
NZ_CP011034.1	NZ_CP011034.1_1548	1691779	1692726	1
NZ_AP018172.1	NZ_AP018172.1_528	642327	643226	1
NZ_CP084352.1	NZ_CP084352.1_1747	2003408	2004337	-1
NC_010546.1	NC_010546.1_1932	2047504	2048460	1
NZ_CP085843.1	NZ_CP085843.1_1475	1667085	1668806	1
NZ_CP083582.1	NZ_CP083582.1_4083	4213260	4214165	-1
NZ_CP021434.1	NZ_CP021434.1_2804	3066969	3067901	1
NZ_CP121817.1	NZ_CP121817.1_1557	1669444	1670409	-1
NZ_CP065707.1	NZ_CP065707.1_489	488693	489670	1
NZ_CP048694.1	NZ_CP048694.1_1293	1424913	1425839	1
NZ_CP072134.1	NZ_CP072134.1_18	14823	15764	1
NZ_CP014222.1	NZ_CP014222.1_707	841970	842917	-1
NZ_CP117797.1	NZ_CP117797.1_1852	1976817	1977767	-1
NZ_CP022743.1	NZ_CP022743.1_205	226271	227323	-1
NZ_CP042213.2	NZ_CP042213.2_1937	2035894	2036889	-1
NZ_CP059139.1	NZ_CP059139.1_1226	1332611	1333567	1
NZ_CP019509.1	NZ_CP019509.1_1022	1188444	1189409	1
NZ_LT897781.1	NZ_LT897781.1_154	152268	153200	1
NZ_CP113428.1	NZ_CP113428.1_2771	2805506	2806450	-1
NZ_CP057506.1	NZ_CP057506.1_3215	3460463	3461413	-1
NZ_CP011456.1	NZ_CP011456.1_3425	3858240	3859193	1
NZ_CP080379.1	NZ_CP080379.1_2230	2605087	2606046	1
NC_004722.1	NC_004722.1_1190	1238414	1239412	1
NC_012491.1	NC_012491.1_3588	3775631	3776563	1
NZ_AP018255.1	NZ_AP018255.1_9637	10642354	10643259	1
NZ_CP102605.1	NZ_CP102605.1_291	337866	338906	1
NZ_CP058989.1	NZ_CP058989.1_1921	2217537	2218430	1
NZ_CP051206.1	NZ_CP051206.1_2764	2975500	2976438	-1
NZ_CP036356.1	NZ_CP036356.1_3411	3423246	3424250	1
NZ_CP013136.1	NZ_CP013136.1_3354	3887717	3888667	1
NZ_CP022129.1	NZ_CP022129.1_3210	3546123	3547040	-1
NZ_AP017375.1	NZ_AP017375.1_748	839682	840599	1
NZ_CP106740.1	NZ_CP106740.1_3638	3545740	3546696	1
NZ_CP014206.1	NZ_CP014206.1_1572	1713240	1714154	-1
NZ_CP031324.1	NZ_CP031324.1_1447	1533350	1534294	-1
NZ_CP086067.1	NZ_CP086067.1_885	983390	984355	1
NZ_CM000729.1	NZ_CM000729.1_3364	3320912	3321889	1
NZ_CP054146.1	NZ_CP054146.1_301	308671	309621	-1
NZ_CP092833.1	NZ_CP092833.1_4488	4486623	4487573	-1
NZ_CP045350.1	NZ_CP045350.1_2204	2442480	2443415	1
NZ_CP092165.1	NZ_CP092165.1_26	26768	27688	1
NZ_CP066166.1	NZ_CP066166.1_4383	5100592	5101497	-1
NZ_CP043056.1	NZ_CP043056.1_997	1112533	1113471	-1
NZ_CP032365.1	NZ_CP032365.1_3653	3663108	3664085	1
NZ_CP075920.1	NZ_CP075920.1_19	7230	8162	-1
NZ_CP129006.1	NZ_CP129006.1_452	505766	506773	1
NZ_AP018314.1	NZ_AP018314.1_782	865717	866535	-1
NZ_CP116231.1	NZ_CP116231.1_1321	1440169	1441125	1
NZ_LR882949.1	NZ_LR882949.1_2881	3206119	3207054	-1
NZ_CP099960.1	NZ_CP099960.1_1030	1112578	1113495	-1
NZ_CP072013.1	NZ_CP072013.1_3687	4204173	4205132	1
NZ_CP016277.1	NZ_CP016277.1_1427	1712241	1713149	1
NC_019676.1	NC_019676.1_4311	5008593	5009684	1
NZ_CP014137.1	NZ_CP014137.1_2671	3026111	3027058	-1
NZ_CP009323.1	NZ_CP009323.1_663	730697	731629	-1
NZ_CP014977.1	NZ_CP014977.1_1129	1197279	1198145	-1
NZ_CP063785.1	NZ_CP063785.1_174	201690	202556	1
NZ_LR594671.1	NZ_LR594671.1_2876	2988984	2989949	-1
NZ_CP012999.1	NZ_CP012999.1_3359	3653822	3654655	-1
NZ_CP026681.1	NZ_CP026681.1_2800	3275403	3276269	-1
NZ_CP091791.1	NZ_CP091791.1_200	248111	249031	1
NZ_LS483492.1	NZ_LS483492.1_1543	1709208	1710065	-1
NZ_CP010226.1	NZ_CP010226.1_611	639624	640481	-1
NZ_CP042597.1	NZ_CP042597.1_2829	2917146	2918045	-1
NZ_CP083625.1	NZ_CP083625.1_3240	3647978	3648937	1
NZ_CP072338.1	NZ_CP072338.1_13	8653	9576	1
NC_006274.1	NC_006274.1_3510	3540906	3541883	1
NZ_CP054003.1	NZ_CP054003.1_8	9036	10007	-1
NZ_CP115856.1	NZ_CP115856.1_1181	1237146	1238153	1
NZ_CP125297.1	NZ_CP125297.1_397	433981	434955	1
NZ_CP010812.1	NZ_CP010812.1_525	605087	606022	1
NZ_CP010992.1	NZ_CP010992.1_1284	1388941	1389849	-1
NZ_CP022019.1	NZ_CP022019.1_1241	1283736	1284593	1
NC_019759.1	NC_019759.1_8	7936	8925	1
NZ_CP032146.1	NZ_CP032146.1_3972	3983375	3984370	1
NZ_CP025792.1	NZ_CP025792.1_377	445175	446905	-1
NZ_CP084115.1	NZ_CP084115.1_1436	1713227	1714126	1
NZ_AP019828.1	NZ_AP019828.1_10	6599	7495	-1
NZ_CP040297.1	NZ_CP040297.1_5711	6619444	6620310	-1
NZ_CP101407.1	NZ_CP101407.1_1145	1243125	1244039	-1
NZ_AP025589.1	NZ_AP025589.1_543	637752	638696	1
NZ_CP053671.2	NZ_CP053671.2_1250	1248045	1248977	-1
NC_007413.1	NC_007413.1_962	1139388	1140257	-1
NZ_CP064048.1	NZ_CP064048.1_3338	3500757	3501449	-1
NZ_CP110108.1	NZ_CP110108.1_4	5249	6223	-1
NZ_CP058555.1	NZ_CP058555.1_1999	2247345	2248262	-1
NZ_CP068983.1	NZ_CP068983.1_616	660564	661478	1
NZ_CP081942.1	NZ_CP081942.1_1919	2125143	2126069	-1
NZ_CM004192.1	NZ_CM004192.1_1604	1829634	1830554	1
NZ_CP060880.1	NZ_CP060880.1_2921	3091013	3091864	1
NZ_CP068990.1	NZ_CP068990.1_3216	3494142	3494999	1
NZ_CP072146.1	NZ_CP072146.1_1902	1936269	1937210	-1
NZ_CP092074.1	NZ_CP092074.1_2819	3306696	3307670	1
NZ_CP050063.1	NZ_CP050063.1_4107	5055619	5057370	-1
NZ_CP033141.1	NZ_CP033141.1_1586	1796751	1798493	-1
NZ_CP071178.1	NZ_CP071178.1_3066	3360519	3361466	-1
NZ_CP069061.1	NZ_CP069061.1_209	218322	219314	-1
NZ_CP074177.1	NZ_CP074177.1_4039	4314574	4315977	1
NZ_CP009850.1	NZ_CP009850.1_2143	2287284	2288201	1
NZ_CP009467.1	NZ_CP009467.1_1730	1971628	1973358	1
NC_019695.1	NC_019695.1_3880	4392852	4393727	1
NZ_CP117964.1	NZ_CP117964.1_1272	1318321	1319262	-1
NZ_CP013585.1	NZ_CP013585.1_3129	3187562	3188368	-1
